kospi,kosdaq,sp500,nasdaq,exchangerate,bok,price_gold,price_btc
2380.48,861.48,3488.67,11768.83,1147.14,0.5,70300.0,13149000.0
2361.21,844.44,3483.34,11713.97,1145.14,0.5,70130.0,13219000.0
2341.53,833.84,3483.81,11671.66,1142.13,0.5,70580.0,13033000.0
2346.74,822.25,3426.92,11478.98,1140.06,0.5,70570.0,13398000.0
2358.41,824.65,3443.12,11516.49,1138.39,0.5,69970.0,13634000.0
2370.86,830.67,3435.56,11484.69,1132.54,0.5,70040.0,14409000.0
2355.05,812.7,3453.49,11506.01,1134.74,0.5,70080.0,14571000.0
2360.81,807.98,3465.39,11548.28,1127.95,0.5,69700.0,14565000.0
2343.91,778.02,3400.97,11358.94,1132.44,0.5,69100.0,14746000.0
2330.84,783.73,3390.68,11431.35,1129.21,0.5,69390.0,15295000.0
2345.26,806.2,3271.03,11004.87,1134.93,0.5,69610.0,15069000.0
2326.67,813.93,3310.11,11185.59,1130.06,0.5,68810.0,15202000.0
2267.15,792.65,3269.96,10911.59,1136.49,0.5,68420.0,15332000.0
2300.16,802.95,3310.24,10957.61,1132.95,0.5,68950.0,15399000.0
2343.31,818.46,3369.16,11160.57,1131.32,0.5,69240.0,15854000.0
2357.32,826.97,3443.44,11590.78,1127.65,0.5,69630.0,15962000.0
2413.79,844.8,3510.45,11890.93,1122.88,0.5,69550.0,17379000.0
2416.5,836.78,3509.44,11895.23,1121.4,0.5,70230.0,17379000.0
2447.2,851.21,3550.5,11713.78,1119.06,0.5,70470.0,17102000.0
2452.83,840.79,3545.53,11553.86,1117.07,0.5,67990.0,17015000.0
2485.87,839.9,3572.66,11786.43,1112.39,0.5,67570.0,17405000.0
2475.62,840.08,3537.01,11709.59,1114.86,0.5,67320.0,17969000.0
2493.87,839.14,3585.15,11829.29,1107.62,0.5,67700.0,17982000.0
2543.03,847.33,3626.91,11924.13,1107.04,0.5,67700.0,18268000.0
2539.15,839.47,3609.53,11899.34,1105.38,0.5,67290.0,19350000.0
2545.64,851.74,3567.79,11801.6,1106.17,0.5,66990.0,19724000.0
2547.42,859.94,3581.87,11904.71,1113.59,0.5,67000.0,19793000.0
2553.5,870.18,3557.54,11854.97,1114.95,0.5,67200.0,20636000.0
2602.59,873.29,3577.59,11880.63,1113.51,0.5,67090.0,20131000.0
2617.76,872.1,3635.41,12037.33,1110.24,0.5,65430.0,20950000.0
2601.54,865.12,3629.65,12094.4,1106.21,0.5,64400.0,20843000.0
2633.45,885.56,3638.35,12205.85,1104.43,0.5,64460.0,19119000.0
2591.34,886.11,3621.63,12198.74,1109.32,0.5,62970.0,21302000.0
2634.25,891.29,3662.45,12355.11,1105.73,0.5,63760.0,20848000.0
2675.9,899.34,3669.01,12349.37,1100.02,0.5,64340.0,21094000.0
2696.22,907.61,3666.72,12377.18,1092.08,0.5,64840.0,21168000.0
2731.45,913.76,3699.12,12464.23,1083.77,0.5,64320.0,20533000.0
2745.44,926.88,3691.96,12519.95,1083.53,0.5,64390.0,20855000.0
2700.93,906.84,3702.25,12582.77,1084.86,0.5,65380.0,20025000.0
2755.47,913.81,3672.82,12338.95,1086.48,0.5,65080.0,20262000.0
2746.46,921.7,3668.1,12405.81,1085.55,0.5,64610.0,19919000.0
2770.06,928.44,3663.46,12377.87,1091.67,0.5,64710.0,19648000.0
2762.2,929.54,3647.49,12440.04,1093.07,0.5,64830.0,20933000.0
2756.82,931.27,3694.62,12595.06,1089.43,0.5,64990.0,21090000.0
2771.79,939.65,3701.17,12658.19,1092.36,0.5,65690.0,22918000.0
2770.43,944.04,3722.48,12764.75,1093.01,0.5,66140.0,24702000.0
2772.18,947.24,3709.41,12755.64,1099.39,0.5,67260.0,25153000.0
2778.65,953.58,3694.92,12742.52,1102.55,0.5,68400.0,25335000.0
2733.68,928.73,3687.26,12807.92,1109.72,0.5,67430.0,26782000.0
2759.82,923.17,3690.01,12771.11,1106.65,0.5,67000.0,26376000.0
2806.86,928.68,3703.06,12804.73,1101.59,0.5,67100.0,26479000.0
2808.6,927.0,3735.36,12899.42,1095.6,0.5,67200.0,30199000.0
2820.51,957.41,3727.04,12850.22,1090.97,0.5,66540.0,30450000.0
2873.47,968.42,3732.04,12870.0,1087.62,0.5,66370.0,31886000.0
2944.45,977.62,3700.65,12698.45,1086.48,0.5,67580.0,36499000.0
2990.57,985.76,3726.86,12818.96,1086.42,0.5,68590.0,37962000.0
2968.21,981.39,3748.14,12740.79,1087.93,0.5,69230.0,40731000.0
3031.68,988.86,3803.79,13067.48,1094.28,0.5,68500.0,44575000.0
3152.18,987.79,3824.68,13201.98,1092.93,0.5,68320.0,47241000.0
3148.45,976.63,3799.61,13036.43,1097.23,0.5,66990.0,40340000.0
3125.95,973.72,3801.19,13072.43,1094.48,0.5,67320.0,38541000.0
3148.29,979.13,3809.84,13128.95,1097.12,0.5,66600.0,41403000.0
3149.93,980.29,3795.54,13112.64,1095.88,0.5,66480.0,42762000.0
3085.9,964.44,3768.25,12998.5,1103.27,0.5,66340.0,41045000.0
3092.66,957.75,3798.91,13197.18,1101.44,0.5,65670.0,39465000.0
3114.55,977.66,3851.85,13457.25,1096.35,0.5,66000.0,39277000.0
3160.84,981.4,3853.07,13530.92,1099.88,0.5,66660.0,34389000.0
3140.63,979.98,3841.47,13543.06,1105.41,0.5,66400.0,36365000.0
3208.99,999.3,3855.36,13635.99,1102.58,0.5,65990.0,36061000.0
3140.31,994.0,3849.62,13626.07,1101.02,0.5,66220.0,35950000.0
3122.56,985.92,3750.77,13270.6,1108.38,0.5,65950.0,34315000.0
3069.05,961.23,3787.38,13337.16,1112.52,0.5,66140.0,36613000.0
2976.21,928.73,3714.24,13070.69,1117.64,0.5,66620.0,37509000.0
